"","Gene","log2( Max Expression Level )","Raw Gini Index","Normalized Gini Index","p-value"
"ENSG00000261071","ENSG00000261071",0.998144829162063,1.80183398434635,0.0048545622200229,0.43055135673852
"ENSG00000077585","ENSG00000077585",0.993559287443467,1.9864041324132,0.00485983081938068,0.430593741776344
"ENSG00000066583","ENSG00000066583",0.980534502976179,2.28841325220071,0.00486012916742384,0.430596141962483
"ENSG00000146856","ENSG00000146856",0.998883416576334,1.76737844634667,0.00486085478727005,0.430601979526795
"ENSG00000186918","ENSG00000186918",0.99582960349633,1.89755740487237,0.00486244633982469,0.430614783516346
"ENSG00000125686","ENSG00000125686",0.994204197810386,2.36369674483899,0.021936175381887,0.430619443102401
"ENSG00000158481","ENSG00000158481",0.99153375860958,2.06535706103919,0.00486607017894491,0.430643937458616
"ENSG00000115137","ENSG00000115137",0.998009141107338,2.28058451903024,0.0219310842676932,0.43066040152843
"ENSG00000187134","ENSG00000187134",0.999786979806269,1.71814171987455,0.00486867989420359,0.430664932964752
"ENSG00000119280","ENSG00000119280",0.998998415115814,1.76201696622157,0.00486901157039199,0.430667601357812
"ENSG00000140265","ENSG00000140265",0.998756585553989,2.26634582022185,0.0219291710563201,0.430675793661729
"ENSG00000140525","ENSG00000140525",0.999140601905595,1.75490104662452,0.00487266223649485,0.430696971815507
"ENSG00000144597","ENSG00000144597",0.998325230188723,1.79450736952927,0.00487311326140016,0.430700600442356
"ENSG00000147955","ENSG00000147955",0.97209671523316,2.45505317812672,0.00487506305656293,0.430716287180175
"ENSG00000106771","ENSG00000106771",0.993724918168436,2.37479305312661,0.021923425646468,0.43072201716136
"ENSG00000269176","ENSG00000269176",0.994401277577096,1.95386094008751,0.00487955650396865,0.430752438845879
"ENSG00000166398","ENSG00000166398",0.994445588603782,2.35708129940646,0.0219193244836443,0.430755012794203
"ENSG00000164654","ENSG00000164654",0.992396633766984,2.03562390973072,0.00488182891732669,0.430770721583723
"ENSG00000256628","ENSG00000256628",0.996642191871861,1.86639492853132,0.00488703348408381,0.430812595567418
"ENSG00000125378","ENSG00000125378",0.999693666847094,1.72506723327294,0.00488896145495099,0.430828107492263
"ENSG00000129055","ENSG00000129055",0.945462281084819,2.82195976165084,0.00489533640543738,0.430879399355214
"ENSG00000172215","ENSG00000172215",0.99598065450176,1.89296838242707,0.00489636321917242,0.430887661048326
"ENSG00000183323","ENSG00000183323",0.996082411382872,1.88904715842915,0.0048982738111164,0.430903033658191
"ENSG00000139835","ENSG00000139835",0.999816808043039,1.71814171987455,0.00489850813097337,0.430904919001384
"ENSG00000272711","ENSG00000272711",0.999820009435263,1.71814171987455,0.00490170952319713,0.430930677637749
"ENSG00000272941","ENSG00000272941",0.999466798583755,1.7390251163445,0.00490398514739609,0.430948987655426
"ENSG00000140718","ENSG00000140718",0.996010486120205,2.3201783129374,0.0218936077494185,0.430961926079703
"ENSG00000116237","ENSG00000116237",0.993688203558971,2.37479305312661,0.0218867110370029,0.431017419298573
"ENSG00000267364","ENSG00000267364",0.977784079094022,2.34858276997168,0.00491659919687881,0.431050484902459
"ENSG00000143067","ENSG00000143067",0.999996264094288,1.70781924850669,0.00491697687443549,0.431053523904202
"ENSG00000120334","ENSG00000120334",0.996448318284926,1.87541080125395,0.00491909279736125,0.431070549861547
"ENSG00000100056","ENSG00000100056",0.987635857302309,2.15702915555138,0.00492328232977335,0.431104261675359
"ENSG00000145191","ENSG00000145191",0.976816818911285,2.61100763554417,0.0218748835516943,0.431112590309548
"ENSG00000238121","ENSG00000238121",0.994674168069357,1.9449944067392,0.00492544088313229,0.431121631052823
"ENSG00000157429","ENSG00000157429",0.999206981858816,1.75430973081378,0.00492770233955631,0.431139828610238
"ENSG00000153896","ENSG00000153896",0.994137733897207,2.36369674483899,0.021869711468708,0.431154209235743
"ENSG00000119638","ENSG00000119638",0.994023314167867,2.36646251578301,0.0218671877707193,0.431174517308151
"ENSG00000131686","ENSG00000131686",0.995917704287646,1.89690088642716,0.00493377235713088,0.431188673737828
"ENSG00000122741","ENSG00000122741",0.990247964568315,2.43746011449685,0.0218650433265526,0.431191773686882
"ENSG00000233461","ENSG00000233461",0.997006312619665,1.85361749732739,0.00493473230081998,0.431196398453041
"ENSG00000151881","ENSG00000151881",0.990793266932925,2.42874635722987,0.0218642618880643,0.431198061968359
"ENSG00000142875","ENSG00000142875",0.990608891377222,2.4316448786741,0.0218592795515186,0.431238155533598
